date,area,category,complaint_type,severity,status,department,notes
2026-06-15,Lakeside,Roads,Broken streetlight,high,Open,Public Works,Third complaint from the same street.
2026-06-07,Green Valley,Public Health,Food safety,critical,In Progress,Health Dept,Recurring issue during monsoon.
2026-06-12,Riverside,Sanitation,Blocked sewer,high,Open,Sanitation Dept,Reported via city helpline.
2026-06-29,Riverside,Public Health,Mosquito breeding,medium,Resolved,Health Dept,Resident reported repeatedly this month.
2026-06-21,Green Valley,Sanitation,Public toilet issue,low,Open,Sanitation Dept,Photo evidence attached by citizen.
2026-06-13,Green Valley,Water Supply,Low pressure,medium,Open,Water Board,Third complaint from the same street.
2026-05-19,Harbor District,Sanitation,Stagnant water,critical,Escalated,Sanitation Dept,
2026-07-04,Riverside,Noise,Loud construction,low,In Progress,Environment Cell,Affects a school zone nearby.
2026-05-27,Lakeside,Public Health,Food safety,low,Resolved,Health Dept,Third complaint from the same street.
2026-06-21,Riverside,Public Health,Open garbage,low,Resolved,Health Dept,Resident reported repeatedly this month.
2026-06-29,Harbor District,Public Health,Mosquito breeding,low,Open,Health Dept,Resident reported repeatedly this month.
2026-07-03,Oak Hill,Water Supply,Contaminated water,medium,Resolved,Water Board,Third complaint from the same street.
2026-06-07,Harbor District,Public Health,Mosquito breeding,high,In Progress,Health Dept,Third complaint from the same street.
2026-05-16,Green Valley,Roads,Pothole,low,In Progress,Public Works,
2026-05-31,Harbor District,Sanitation,Stagnant water,low,Open,Sanitation Dept,Flagged by community volunteer.
2026-05-24,Riverside,Water Supply,Contaminated water,low,Open,Water Board,Escalated after no response in 72 hours.
2026-06-28,Riverside,Waste Collection,Missed pickup,high,In Progress,Sanitation Dept,Escalated after no response in 72 hours.
2026-05-28,Harbor District,Water Supply,Low pressure,high,Resolved,Water Board,
2026-05-17,Oak Hill,Public Health,Open garbage,medium,Resolved,Health Dept,Resident reported repeatedly this month.
2026-06-22,Old Town,Public Health,Food safety,medium,Resolved,Health Dept,Resident reported repeatedly this month.
2026-05-19,Midtown,Waste Collection,Missed pickup,high,Open,Sanitation Dept,Affects a school zone nearby.
2026-06-01,Oak Hill,Sanitation,Blocked sewer,medium,Resolved,Sanitation Dept,Recurring issue during monsoon.
2026-05-27,Harbor District,Noise,Loud construction,high,In Progress,Environment Cell,Recurring issue during monsoon.
2026-06-30,Green Valley,Sanitation,Stagnant water,high,Resolved,Sanitation Dept,Photo evidence attached by citizen.
2026-05-28,Harbor District,Noise,Traffic noise,high,Open,Environment Cell,Escalated after no response in 72 hours.
2026-06-11,Midtown,Roads,Blocked drain,medium,Open,Public Works,Recurring issue during monsoon.
2026-06-25,Oak Hill,Roads,Blocked drain,low,Escalated,Public Works,Resident reported repeatedly this month.
2026-05-12,Riverside,Roads,Broken streetlight,high,Open,Public Works,Recurring issue during monsoon.
2026-06-06,Harbor District,Noise,Industrial noise,medium,Resolved,Environment Cell,Recurring issue during monsoon.
2026-05-19,Midtown,Roads,Broken streetlight,low,Open,Public Works,Flagged by community volunteer.
2026-06-15,Lakeside,Water Supply,Leak,low,In Progress,Water Board,Escalated after no response in 72 hours.
2026-07-04,Riverside,Waste Collection,Delayed collection,high,Open,Sanitation Dept,Recurring issue during monsoon.
2026-06-26,North Gate,Sanitation,Public toilet issue,low,Resolved,Sanitation Dept,Reported via city helpline.
2026-07-03,Riverside,Waste Collection,Delayed collection,high,In Progress,Sanitation Dept,Photo evidence attached by citizen.
2026-07-01,Riverside,Waste Collection,Overflowing bin,high,Resolved,Sanitation Dept,Reported via city helpline.
2026-06-30,North Gate,Waste Collection,Illegal dumping,low,Resolved,Sanitation Dept,Photo evidence attached by citizen.
2026-06-19,Old Town,Roads,Pothole,low,Resolved,Public Works,Resident reported repeatedly this month.
2026-06-03,Riverside,Waste Collection,Missed pickup,medium,Open,Sanitation Dept,Affects a school zone nearby.
2026-06-29,Riverside,Public Health,Stray animals,high,Open,Health Dept,Resident reported repeatedly this month.
2026-06-28,Riverside,Waste Collection,Overflowing bin,high,In Progress,Sanitation Dept,Affects a school zone nearby.
2026-05-14,Old Town,Water Supply,Low pressure,low,Resolved,Water Board,Escalated after no response in 72 hours.
2026-06-11,Midtown,Roads,Broken streetlight,medium,Resolved,Public Works,Flagged by community volunteer.
2026-06-15,North Gate,Public Health,Open garbage,medium,Resolved,Health Dept,Affects a school zone nearby.
2026-06-10,North Gate,Noise,Late-night party,low,Resolved,Environment Cell,
2026-06-23,Old Town,Roads,Pothole,low,Open,Public Works,Affects a school zone nearby.
2026-06-02,Lakeside,Waste Collection,Illegal dumping,high,In Progress,Sanitation Dept,Reported via city helpline.
2026-05-30,Harbor District,Sanitation,Foul smell,medium,Open,Sanitation Dept,Escalated after no response in 72 hours.
2026-07-04,Riverside,Waste Collection,Delayed collection,medium,In Progress,Sanitation Dept,
2026-06-21,Midtown,Public Health,Food safety,medium,In Progress,Health Dept,Photo evidence attached by citizen.
2026-06-29,Riverside,Noise,Traffic noise,high,In Progress,Environment Cell,Affects a school zone nearby.
2026-05-14,North Gate,Noise,Industrial noise,high,Resolved,Environment Cell,Escalated after no response in 72 hours.
2026-06-02,Lakeside,Public Health,Food safety,medium,Resolved,Health Dept,Photo evidence attached by citizen.
2026-06-27,North Gate,Public Health,Open garbage,medium,Open,Health Dept,Flagged by community volunteer.
2026-06-07,Riverside,Public Health,Open garbage,medium,Resolved,Health Dept,Resident reported repeatedly this month.
2026-05-18,Old Town,Waste Collection,Delayed collection,high,Open,Sanitation Dept,
2026-05-29,Green Valley,Sanitation,Foul smell,low,In Progress,Sanitation Dept,Reported via city helpline.
2026-06-12,Harbor District,Water Supply,No supply,low,Open,Water Board,Reported via city helpline.
2026-07-03,Riverside,Waste Collection,Delayed collection,high,Resolved,Sanitation Dept,Affects a school zone nearby.
2026-06-29,Riverside,Waste Collection,Illegal dumping,high,Resolved,Sanitation Dept,Photo evidence attached by citizen.
2026-05-14,Riverside,Water Supply,Low pressure,low,Open,Water Board,Third complaint from the same street.
2026-06-16,Oak Hill,Water Supply,Leak,high,Open,Water Board,Flagged by community volunteer.
2026-06-28,Riverside,Waste Collection,Delayed collection,high,Resolved,Sanitation Dept,Flagged by community volunteer.
2026-06-05,Old Town,Sanitation,Blocked sewer,medium,In Progress,Sanitation Dept,Reported via city helpline.
2026-06-18,Riverside,Public Health,Food safety,high,Open,Health Dept,Resident reported repeatedly this month.
2026-06-29,Riverside,Water Supply,No supply,medium,Resolved,Water Board,Recurring issue during monsoon.
2026-06-06,Green Valley,Public Health,Food safety,high,Open,Health Dept,
2026-06-15,Old Town,Waste Collection,Illegal dumping,low,Resolved,Sanitation Dept,
2026-06-12,Riverside,Sanitation,Blocked sewer,low,In Progress,Sanitation Dept,Affects a school zone nearby.
2026-06-18,Riverside,Public Health,Open garbage,medium,Escalated,Health Dept,Third complaint from the same street.
